# osu-lat-charm.py 1 4194304 1000 500 0 /home/zanef2/charm-mpi-compare +ppn 1 +pemap L0,4
Iteration Group,Message Size,Total Trials,Warmup Trials,Elapsed seconds
560,8,1000,50,1.9346e-06
570,8,1000,50,1.8074e-06
580,8,1000,50,1.7844e-06
590,8,1000,50,1.8114000000000001e-06
600,8,1000,50,1.7854e-06
610,8,1000,50,1.7723e-06
620,8,1000,50,1.7774000000000001e-06
630,8,1000,50,1.8014e-06
640,8,1000,50,1.7844e-06
650,8,1000,50,1.8084000000000001e-06
660,8,1000,50,1.8284000000000001e-06
670,8,1000,50,1.8795e-06
680,8,1000,50,1.7994e-06
690,8,1000,50,1.7934e-06
700,8,1000,50,1.7943e-06
710,8,1000,50,1.8254000000000001e-06
720,8,1000,50,1.8414e-06
730,8,1000,50,1.8024e-06
740,8,1000,50,1.7944000000000001e-06
750,8,1000,50,1.7994e-06
760,8,1000,50,1.7894000000000002e-06
770,8,1000,50,1.7994e-06
780,8,1000,50,1.8385e-06
790,8,1000,50,1.7924000000000002e-06
800,8,1000,50,1.7934e-06
810,8,1000,50,1.8114000000000001e-06
820,8,1000,50,1.7953e-06
830,8,1000,50,1.8034000000000002e-06
840,8,1000,50,1.7884e-06
850,8,1000,50,1.8184e-06
860,8,1000,50,1.8014e-06
870,8,1000,50,1.7882999999999999e-06
880,8,1000,50,1.7992999999999999e-06
890,8,1000,50,1.8765e-06
900,8,1000,50,1.7933e-06
910,8,1000,50,1.7934e-06
920,8,1000,50,1.7882999999999999e-06
930,8,1000,50,1.7753e-06
940,8,1000,50,1.7763e-06
950,8,1000,50,1.8024e-06
960,8,1000,50,1.8024e-06
970,8,1000,50,1.7773e-06
980,8,1000,50,1.8104e-06
990,8,1000,50,1.8184e-06
1000,8,1000,50,1.7914000000000001e-06
1010,8,1000,50,1.8104e-06
1020,8,1000,50,1.9987e-06
1030,8,1000,50,1.8234000000000002e-06
1040,8,1000,50,1.8134e-06
0,16,1000,50,1.7864000000000002e-06
10,16,1000,50,1.7673e-06
20,16,1000,50,1.8094e-06
30,16,1000,50,1.7814e-06
40,16,1000,50,1.7623e-06
50,16,1000,50,1.7843e-06
60,16,1000,50,1.7533e-06
70,16,1000,50,1.7682999999999999e-06
80,16,1000,50,1.7763e-06
90,16,1000,50,1.7703e-06
100,16,1000,50,1.7663e-06
110,16,1000,50,1.7864000000000002e-06
120,16,1000,50,1.7843e-06
130,16,1000,50,1.9657e-06
140,16,1000,50,1.8004000000000002e-06
150,16,1000,50,1.7682999999999999e-06
160,16,1000,50,1.7643e-06
170,16,1000,50,1.8164e-06
180,16,1000,50,1.7803e-06
190,16,1000,50,1.7822999999999999e-06
200,16,1000,50,1.7583e-06
210,16,1000,50,1.7954e-06
220,16,1000,50,1.7742999999999999e-06
230,16,1000,50,1.7903e-06
240,16,1000,50,1.7984e-06
250,16,1000,50,1.8195e-06
260,16,1000,50,1.7873e-06
270,16,1000,50,1.7913e-06
280,16,1000,50,1.7974000000000001e-06
290,16,1000,50,1.7663e-06
300,16,1000,50,1.7793e-06
310,16,1000,50,1.7822999999999999e-06
320,16,1000,50,1.7863e-06
330,16,1000,50,1.7893e-06
340,16,1000,50,1.7884e-06
350,16,1000,50,1.8033e-06
360,16,1000,50,1.7973e-06
370,16,1000,50,1.7863e-06
380,16,1000,50,1.7833e-06
390,16,1000,50,1.7803e-06
400,16,1000,50,1.7783e-06
410,16,1000,50,1.7734e-06
420,16,1000,50,1.7852999999999999e-06
430,16,1000,50,1.7813e-06
440,16,1000,50,1.8074e-06
450,16,1000,50,1.7723e-06
460,16,1000,50,1.8775e-06
470,16,1000,50,1.7834000000000002e-06
480,16,1000,50,1.7652999999999999e-06
490,16,1000,50,1.8165e-06
500,16,1000,50,1.7604000000000001e-06
510,16,1000,50,1.7724000000000002e-06
520,16,1000,50,1.7794e-06
530,16,1000,50,1.7874e-06
540,16,1000,50,1.7884e-06
550,16,1000,50,1.7572999999999999e-06
560,16,1000,50,1.7603e-06
570,16,1000,50,1.8564000000000001e-06
580,16,1000,50,1.7833e-06
590,16,1000,50,1.7623e-06
600,16,1000,50,1.7714e-06
610,16,1000,50,1.8024e-06
620,16,1000,50,1.7813e-06
630,16,1000,50,1.7803e-06
640,16,1000,50,1.8484000000000002e-06
650,16,1000,50,1.8084000000000001e-06
660,16,1000,50,1.8044e-06
670,16,1000,50,1.7783e-06
680,16,1000,50,1.7923e-06
690,16,1000,50,1.7844e-06
700,16,1000,50,1.7834000000000002e-06
710,16,1000,50,1.7633e-06
720,16,1000,50,1.7834000000000002e-06
730,16,1000,50,1.8044e-06
740,16,1000,50,1.8064000000000002e-06
750,16,1000,50,1.7923e-06
760,16,1000,50,1.8345e-06
770,16,1000,50,1.7863e-06
780,16,1000,50,1.9525999999999997e-06
790,16,1000,50,1.8024e-06
800,16,1000,50,1.8084000000000001e-06
810,16,1000,50,2.2853000000000004e-06
820,16,1000,50,1.8214e-06
830,16,1000,50,1.7944000000000001e-06
840,16,1000,50,1.7733e-06
850,16,1000,50,1.8204000000000002e-06
860,16,1000,50,1.7844e-06
870,16,1000,50,1.7994e-06
880,16,1000,50,1.8024e-06
890,16,1000,50,1.7863e-06
900,16,1000,50,1.7904e-06
910,16,1000,50,1.8054000000000001e-06
920,16,1000,50,1.9377e-06
930,16,1000,50,1.8064000000000002e-06
940,16,1000,50,1.8054000000000001e-06
950,16,1000,50,1.7742999999999999e-06
960,16,1000,50,1.7864000000000002e-06
970,16,1000,50,1.7852999999999999e-06
980,16,1000,50,1.7803e-06
990,16,1000,50,1.7974000000000001e-06
1000,16,1000,50,1.7994e-06
1010,16,1000,50,1.7834000000000002e-06
1020,16,1000,50,1.7763e-06
1030,16,1000,50,1.8886e-06
1040,16,1000,50,1.7974000000000001e-06
0,32,1000,50,1.8162999999999999e-06
10,32,1000,50,1.8074e-06
20,32,1000,50,1.7944000000000001e-06
30,32,1000,50,1.8034000000000002e-06
40,32,1000,50,1.8085e-06
50,32,1000,50,1.8965e-06
60,32,1000,50,1.7893e-06
70,32,1000,50,1.8214e-06
80,32,1000,50,2.2322e-06
90,32,1000,50,1.7793e-06
100,32,1000,50,1.8875e-06
110,32,1000,50,1.7864000000000002e-06
120,32,1000,50,1.7763e-06
130,32,1000,50,1.8194e-06
