# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:190832] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:190832] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:195006] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:195006] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.0762551994038705
0,2,1000,2.1786111677942515
0,4,1000,4.402436620902364
0,8,1000,8.731965745198169
0,16,1000,17.24114096628023
0,32,1000,32.129535911981606
0,64,1000,61.4840165350273
0,128,1000,127.96367520078563
0,256,1000,255.24412226412375
0,512,1000,492.519389194955
0,1024,1000,957.7352764241695
0,2048,1000,1870.2522794664974
0,4096,1000,3424.8235528040914
0,8192,1000,5464.886973870373
0,16384,100,5723.115103360585
0,32768,100,8943.274517147325
0,65536,100,12077.038801259394
0,131072,100,14279.829760578974
0,262144,100,15243.094486430504
0,524288,100,14823.784135490161
0,1048576,100,12265.898596375846
0,2097152,100,9969.086097411926
0,4194304,100,10033.444275776093
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:195167] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:195167] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.0132065331677276
0,2,1000,2.0605475993718043
0,4,1000,4.117179939493111
0,8,1000,8.355882281903405
0,16,1000,16.600614851524508
0,32,1000,30.770027186647667
0,64,1000,59.37412331758896
0,128,1000,122.20393581993855
0,256,1000,245.29700799539597
0,512,1000,478.6702393073112
0,1024,1000,938.6256354382066
0,2048,1000,1791.000626967387
0,4096,1000,3274.569041615678
0,8192,1000,5231.213216818673
0,16384,100,5780.106568985257
0,32768,100,9163.021567793396
0,65536,100,12612.746249763302
0,131072,100,14992.57038569118
0,262144,100,16890.737311519337
0,524288,100,15964.978172852552
0,1048576,100,13164.153208896143
0,2097152,100,10089.233878643328
0,4194304,100,10067.769769684603
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:196080] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:196080] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.0909763351428619
0,2,1000,2.2177375898491904
0,4,1000,4.4512198576699955
0,8,1000,8.771389841228116
0,16,1000,17.561293621580404
0,32,1000,32.50378926841174
0,64,1000,63.23274479391756
0,128,1000,127.23833010698279
0,256,1000,257.11311045545426
0,512,1000,504.29581545582676
0,1024,1000,977.4209532659853
0,2048,1000,1881.5997578092697
0,4096,1000,3444.4004666770643
0,8192,1000,5551.414886811399
0,16384,100,5833.030293643152
0,32768,100,8631.595712572238
0,65536,100,12093.08385255914
0,131072,100,14270.940454041294
0,262144,100,15771.795683298793
0,524288,100,14658.635790137476
0,1048576,100,12253.569432173936
0,2097152,100,9967.322108184097
0,4194304,100,10114.83276257637
