# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intersocket
[c476-101.stampede2.tacc.utexas.edu:190788] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:190788] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,64,1000,43.78403112030095
0,128,1000,86.78537630379564
0,256,1000,171.93169712632383
0,512,1000,344.5068143834852
0,1024,1000,697.8621145403471
0,2048,1000,1243.411252617905
0,4096,1000,1990.478913690649
0,8192,1000,2784.851806970807
0,16384,100,5588.963896861959
0,32768,100,8634.750681946145
0,65536,100,11998.623944989666
0,131072,100,14225.11000722799
0,262144,100,15712.10131804901
0,524288,100,14856.910502452445
0,1048576,100,11490.235534273246
0,2097152,100,9730.890744627413
0,4194304,100,9927.77289091014
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intersocket
[c476-101.stampede2.tacc.utexas.edu:196305] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:196305] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,0.8664254400181154
0,2,1000,1.7445337501561893
0,4,1000,3.484996410051086
0,8,1000,6.906457254896256
0,16,1000,13.143446050501977
0,32,1000,21.100182747834403
0,64,1000,42.06558781311404
0,128,1000,84.00859787969738
0,256,1000,166.56558503967517
0,512,1000,330.40561676877167
0,1024,1000,658.3747348154905
0,2048,1000,1208.3299114050847
0,4096,1000,1938.6973529335544
0,8192,1000,2743.204550965334
0,16384,100,5467.2846518638535
0,32768,100,8561.440329897394
0,65536,100,11818.840090735233
0,131072,100,14002.183239427857
0,262144,100,15948.80667556027
0,524288,100,14524.81784813253
0,1048576,100,11497.60914870446
0,2097152,100,9731.931031117121
0,4194304,100,9899.11528324855
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by socket --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intersocket
[c476-101.stampede2.tacc.utexas.edu:196641] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:196641] MCW rank 1 bound to socket 1[core 24[hwt 0-1]]: [../../../../../../../../../../../../../../../../../../../../../../../..][BB/../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,0.9589549468315997
0,2,1000,1.9299382357770023
0,4,1000,3.8435520203656117
0,8,1000,7.733772611961475
0,16,1000,15.231931695171527
0,32,1000,22.6427616227804
0,64,1000,45.08357729363298
0,128,1000,89.94787518704686
0,256,1000,178.03706540714265
0,512,1000,367.4817832298604
0,1024,1000,699.7271192299512
0,2048,1000,1253.1778973987653
0,4096,1000,2096.017395427887
0,8192,1000,2780.6428880541926
0,16384,100,5653.570458475649
0,32768,100,8781.041425380377
0,65536,100,11992.564128629596
0,131072,100,14526.995639160752
0,262144,100,16431.050555804868
0,524288,100,13815.877055374065
0,1048576,100,11352.004033131472
0,2097152,100,9717.453788702973
0,4194304,100,9864.789761708007
